brx, leave, remain
lab, 9.478958836, 46.03706555
grn, 0.113319906, 0.536608833
lbd, 1.495369857, 14.7522749
oth, 0.088101585, 0.139063796
con, 88.65849373, 38.53498692
brx, 0.165756088, 0
