brx, leave, remain
lab, 22.94692612, 74.05541978
grn, 0.079983254, 0.251672647
lbd, 0.581062551, 3.809066855
oth, 0.043856491, 0.045999125
con, 75.61178826, 21.83784159
brx, 0.736383328, 0
