brx, leave, remain
lab, 18.35095043, 68.39682456
grn, 0.072212698, 0.262419174
lbd, 0.57346995, 4.341616124
oth, 0.148335562, 0.179682599
con, 80.40531192, 26.81945754
brx, 0.449719439, 0
