brx, leave, remain
lab, 21.96013695, 72.55121184
grn, 0.06783571, 0.218510653
lbd, 0.661275088, 4.437671673
oth, 0.050622444, 0.054354574
con, 76.90588308, 22.73825126
brx, 0.354246726, 0
