age, 18-24yo, 25-49yo, 50-69yo, 70+yo
lab, 68.70945642, 49.4525356, 30.322866, 14.86972253
grn, 0.09678479, 0.210860613, 0.199327688, 0.135341006
lbd, 1.276838118, 2.22543122, 2.103712276, 1.66646003
oth, 0.016602737, 0.054257441, 0.068386473, 0.046433559
con, 29.74336609, 47.82895258, 67.09021333, 83.18449761
brx, 0.156951838, 0.227962545, 0.215494238, 0.097545261
