age, 18-24yo, 25-49yo, 50-69yo, 70+yo
lab, 59.67516553, 39.69815902, 22.79929931, 10.65966266
grn, 0.123586078, 0.248864291, 0.220345507, 0.142644593
lbd, 2.568962968, 4.138480033, 3.664227919, 2.767453823
oth, 0.011145163, 0.033664386, 0.039742122, 0.025727771
con, 37.37548069, 55.55104379, 72.98438902, 86.27849188
brx, 0.245659576, 0.329788473, 0.291996125, 0.126019265
