brx, leave, remain
lab, 23.28199121, 71.67176291
grn, 0.115975089, 0.348094607
lbd, 1.156042967, 7.228785203
oth, 0.050076607, 0.050100981
con, 75.14167385, 20.7012563
brx, 0.254240271, 0
