age, 18-24yo, 25-49yo, 50-69yo, 70+yo
lab, 90.63509849, 84.96765112, 66.29542788, 47.21713739
grn, 0.070350085, 0.078164228, 0.077186803, 0.061725447
lbd, 0.454907032, 0.430743686, 0.517601282, 0.62088018
oth, 0.004913419, 0.007315298, 0.014375766, 0.017244215
con, 8.793559036, 14.45528467, 32.94483134, 51.93851509
brx, 0.041171934, 0.060840997, 0.150576929, 0.14449768
