age, 18-24yo, 25-49yo, 50-69yo, 70+yo
lab, 56.20172725, 36.27588688, 20.46993676, 9.474490681
grn, 0.204747342, 0.400039566, 0.348010135, 0.223028527
lbd, 3.686409848, 5.762066673, 5.012648174, 3.747852909
oth, 0.029233098, 0.085674343, 0.099375302, 0.063686442
con, 39.65011413, 57.17965357, 73.81193693, 86.38067256
brx, 0.227768335, 0.29667897, 0.258092691, 0.110268882
